date,snapshot_date,membership_code
2001-01-31,2001-01-31,INCLF
2001-01-31,2001-01-31,LEHMQ
2001-01-31,2001-01-31,MTLQQ
2001-01-31,2001-01-31,RDS.A
2001-01-31,2001-01-31,RSHCQ
2001-01-31,2001-01-31,UAWGQ
2001-01-31,2001-01-31,VSTNQ
2001-01-31,2001-01-31,WAMUQ
2001-01-31,2001-01-31,WCOEQ
2001-01-31,2001-01-31,WNDXQ
2001-02-28,2001-02-27,AABA
2001-02-28,2001-02-27,AAMRQ
2001-02-28,2001-02-27,ABKFQ
2001-02-28,2001-02-27,AZA.A
2001-02-28,2001-02-27,BF.B
2001-02-28,2001-02-27,CCTYQ
2001-02-28,2001-02-27,CIT.A
2001-02-28,2001-02-27,COC.B
2001-02-28,2001-02-27,CPNLQ
2001-02-28,2001-02-27,DALRQ
2001-02-28,2001-02-27,DCNAQ
2001-02-28,2001-02-27,DPHIQ
2001-02-28,2001-02-27,EKDKQ
2001-02-28,2001-02-27,ENRNQ
2001-02-28,2001-02-27,FMCC
2001-02-28,2001-02-27,FNMA
2001-02-28,2001-02-27,INCLF
2001-02-28,2001-02-27,LEHMQ
2001-02-28,2001-02-27,MTLQQ
2001-02-28,2001-02-27,RDS.A
2001-02-28,2001-02-27,RSHCQ
2001-02-28,2001-02-27,UAWGQ
2001-02-28,2001-02-27,VSTNQ
2001-02-28,2001-02-27,WAMUQ
2001-02-28,2001-02-27,WCOEQ
2001-02-28,2001-02-27,WNDXQ
2001-03-30,2001-03-30,AABA
2001-03-30,2001-03-30,AAMRQ
2001-03-30,2001-03-30,ABKFQ
2001-03-30,2001-03-30,AZA.A
2001-03-30,2001-03-30,BF.B
2001-03-30,2001-03-30,CCTYQ
2001-03-30,2001-03-30,CIT.A
2001-03-30,2001-03-30,COC.B
2001-03-30,2001-03-30,CPNLQ
2001-03-30,2001-03-30,DALRQ
2001-03-30,2001-03-30,DCNAQ
2001-03-30,2001-03-30,DPHIQ
2001-03-30,2001-03-30,EKDKQ
