factor,start,end,coverage,months,mean_ic,ic_std,icir_annualized,ic_hac_tstat,ic_positive_month_ratio,quantile_monotonicity,gross_spread_ann,net_spread_ann,spread_hac_tstat,average_top_turnover,average_bottom_turnover,period
momentum_6_1,2010-01-01,2014-12-31,0.9963029542448191,60,-0.005328184598861645,0.10069499613013383,-0.18329980221475184,-0.47918244614604794,0.4666666666666667,-0.9999999999999999,-0.0232184126633036,-0.03152372772277989,-1.1481551178246836,0.3608342155557651,0.36098620239056073,research_2010_2014
short_reversal,2000-01-01,2004-12-31,0.9980955068067997,60,0.02700678179713994,0.09716234152181401,0.9628651901327577,2.489268544662225,0.5833333333333334,0.8999999999999998,0.07863951754585519,0.05908825613607105,1.285659375207267,0.767445568199108,0.7916768782403172,research_2000_2004
short_reversal,2005-01-01,2009-12-31,0.9984533424987111,60,-0.0021102926770788077,0.09029507395784378,-0.08095976835342125,-0.16429744511180444,0.43333333333333335,-0.3,-0.027714059395706703,-0.045403592674051474,-0.8476926535774607,0.7687742440073261,0.7820089143547432,research_2005_2009
short_reversal,2010-01-01,2014-12-31,0.9991181358749109,60,0.004473060553452059,0.0980301931201993,0.15806493687942616,0.5309127762285567,0.5166666666666667,0.39999999999999997,0.002497957928336847,-0.015739556294803503,-0.4956850618866669,0.7741510574440356,0.7794985482636814,research_2010_2014
volatility_12m,2000-01-01,2004-12-31,0.9934400790011991,60,0.02563037107581033,0.13949723758595636,0.6364728891895487,1.4628661940092416,0.6,0.8999999999999998,0.0216630040486252,0.01836902789547823,0.47365493037168577,0.15240561201969244,0.12178962701060263,research_2000_2004
volatility_12m,2005-01-01,2009-12-31,0.9924385633270322,60,0.005568144010641576,0.10917541691452941,0.17667545685384148,0.31914980978915014,0.55,-0.49999999999999994,-0.05670730927858603,-0.05983152554179094,-0.6083721859631329,0.14833941784243065,0.1320360721871691,research_2005_2009
volatility_12m,2010-01-01,2014-12-31,0.9939626225282366,60,-0.0011276099159053614,0.14008925918574183,-0.027883332052987795,-0.07040445218116156,0.48333333333333334,-0.49999999999999994,-0.023828082897366598,-0.026951059150786993,-0.5307522673913284,0.1470570871484478,0.12391002710765074,research_2010_2014
turnover,2000-01-01,2004-12-31,0.9985187275163998,60,0.0042819114456348565,0.08871648729421555,0.16719526220091532,0.453609138335239,0.5833333333333334,0.19999999999999998,-0.024475756485563216,-0.030141748431945947,-0.44814313418972207,0.25740270177305546,0.23412354262618779,research_2000_2004
turnover,2005-01-01,2009-12-31,0.9990720054992267,60,-0.008669324686138753,0.07891933160744828,-0.3805331474015239,-0.8087583236529176,0.45,0.09999999999999999,0.010671992941977404,0.003922604035429433,0.19384606595633191,0.302646180123652,0.264994157944128,research_2005_2009
turnover,2010-01-01,2014-12-31,0.9995929857884205,60,-0.0006039851672119125,0.0822891168424264,-0.025425792298445327,-0.06690954745471132,0.4666666666666667,0.6,0.007334090098834567,6.871463933189048e-06,0.07635784938850622,0.318302359464587,0.30039761153562605,research_2010_2014
illiquidity,2000-01-01,2004-12-31,0.9980955068067997,60,0.04881715460965394,0.09086228224191313,1.8611417186231034,3.8755800048767317,0.6333333333333333,0.9999999999999999,0.16525156949572128,0.16084019261796678,3.017186309057489,0.23007104365001269,0.09596716389467513,research_2000_2004
illiquidity,2005-01-01,2009-12-31,0.9984533424987111,60,0.008524445408236592,0.06719645148608963,0.439450959890924,0.9431429747700033,0.5166666666666667,0.39999999999999997,0.0034730378498302183,-0.009142832306000437,-0.2636418384713608,0.5924151365415937,0.4797897604601756,research_2005_2009
illiquidity,2010-01-01,2014-12-31,0.9991181358749109,60,0.00806538569146188,0.05287302388004175,0.5284228808984089,1.130847190749181,0.5666666666666667,0.39999999999999997,0.026584564714608128,0.011487736157042905,0.9111182376616428,0.6846535224259197,0.5725815750028824,research_2010_2014
log_market_cap,2000-01-01,2004-12-31,0.9985187275163998,60,0.045751045909047224,0.09897364158194351,1.6012977747874022,3.3887754374972885,0.65,0.9999999999999999,0.23966310973865124,0.2380518512329719,3.922063715843152,0.06874642810377334,0.04368167261493563,research_2000_2004
log_market_cap,2005-01-01,2009-12-31,0.9990720054992267,60,0.005309784558922202,0.1151048459841376,0.1597989477274545,0.32226051241438886,0.48333333333333334,0.7,0.08856727147622445,0.08731314223086817,1.1988274715153335,0.06145444102325482,0.03705217261029023,research_2005_2009
log_market_cap,2010-01-01,2014-12-31,0.9995929857884205,60,0.009864545553609829,0.10284137588435781,0.33227665315645877,0.6703100680035687,0.48333333333333334,0.6,0.05588657079893755,0.05480595681776346,1.6727617538735364,0.05843457054110806,0.02869231924921998,research_2010_2014
